TweetText,LogReg,RandForest,KNN,TrueLabel
@BrandyPenelope yeahh i did the same thing when i saw it,1,1,1,1
"\@brandyraquel05 Anatomy + Physiology II. Booooooo. M-Thurs""",1,1,1,1
"\@Brandysandiego  oh baby cakes life is so much better now""",1,1,0,1
@Brandystrippers awww yaaay thanks for the follow!!  don't worry i will keep on voting... xx,1,1,0,1
"\@Brandystrippers OI""",1,1,1,1
@Brandystrippers yay new blog is good! not enough rusty info tho  xxxxx,1,1,0,1
@BrandyVirtual Yeah...I found it in the oddest place though (the side of my microwave) lol. I'm sry you didn't get one,1,1,1,0
@BrandyWandLover @Penny1624 Thanks guys  x,1,1,0,1
@BrandyWandLover Dw hun I missed him too   didn't even know he came on  oh well our turn nxt time xx,1,1,0,0
@BrandyWandLover have u seen how @brandystrippers is doing on ms.twitterworld???,1,1,1,1
"\@BrandyWandLover OI YOU""",1,1,1,1
@BrandyWandLover Your tweets aren't showing up in my timeline anymore... just my replies tab.   Twitter's being weird,1,1,1,0
"\@brandyway Good morning""",1,1,1,1
@brandyway haha sponge bob is the greatest.... alongside charmander and pikachu,1,1,1,1
@BranEverseeking ER visits can take a really really really long time,1,1,1,1
@branhead4lyfe awww  it'll happen,1,1,0,1
"\@brannyboilsover Oh my gosh""",1,1,1,1
@DavidArchie eii.  do you have a girlfriend? if yes. i know i`m going to cry. i don`t know what to do when you say yes. just the truth,1,1,1,1
"\@DavidArchie everybody here in the Philippines loves you! hope you can reply""",1,1,0,1
"\@DavidArchie glad to have you back in the US! (although i'm sure the Philippines misses you!  aw) gas prices always go up""",1,1,1,1
@DavidArchie glad you're home safe. we miss you already here in manila.  please come back for a solo concert.  thanks for everything!,1,1,1,1
@DavidArchie Good Job tonight! I got the chills when you sang!  BRAVO!,1,1,1,1
@DavidArchie Good luck!  What're you singing?,1,1,0,1
@DavidArchie Good Morning David! I felt that earthquake last night...they always scare me! Haha. But I'm glad your safe &amp; back in the US!,1,1,1,1
@DavidArchie Good morning! Don't forget to enjoy the game with your family and friends.,1,1,1,1
